question-word,correct answer-word,systems guess-word,label
enormously,tremendously,decidedly,wrong
provisions,stipulations,interpretations,wrong
haphazardly,randomly,dangerously,wrong
prominent,conspicuous,mysterious,wrong
zenith,pinnacle,decline,wrong
flawed,imperfect,crude,wrong
urgently,desperately,tentatively,wrong
consumed,eaten,supplied,wrong
advent,coming,financing,wrong
concisely,succinctly,positively,wrong
salutes,greetings,ceremonies,wrong
solitary,alone,alone,correct
hasten,accelerate,determine,wrong
perseverance,endurance,endurance,correct
fanciful,imaginative,apparent,wrong
showed,demonstrated,published,wrong
constantly,continually,rapidly,wrong
issues,subjects,training,wrong
furnish,supply,supply,correct
costly,expensive,popular,wrong
recognized,acknowledged,welcomed,wrong
spot,location,climate,wrong
make,earn,trade,wrong
often,frequently,hardly,wrong
easygoing,relaxed,farming,wrong
debate,argument,argument,correct
narrow,thin,poisonous,wrong
arranged,planned,discarded,wrong
infinite,limitless,unusual,wrong
showy,striking,striking,correct
levied,imposed,imposed,correct
deftly,skillfully,skillfully,correct
distribute,circulate,acknowledge,wrong
discrepancies,differences,weights,wrong
prolific,productive,promising,wrong
unmatched,unequaled,alienated,wrong
peculiarly,uniquely,uniquely,correct
hue,color,color,correct
hind,rear,curved,wrong
highlight,accentuate,imitate,wrong
hastily,hurriedly,shrewdly,wrong
temperate,mild,mild,correct
grin,smile,rest,wrong
verbally,orally,verbosely,wrong
physician,doctor,chemist,wrong
essentially,basically,possibly,wrong
keen,sharp,famous,wrong
situated,positioned,positioned,correct
principal,major,most,wrong
slowly,gradually,effectively,wrong
built,constructed,financed,wrong
tasks,jobs,customers,wrong
unlikely,improbable,different,wrong
halfheartedly,apathetically,bipartisanly,wrong
annals,chronicles,chronicles,correct
wildly,furiously,furiously,correct
hailed,acclaimed,judged,wrong
command,mastery,mastery,correct
concocted,devised,requested,wrong
prospective,potential,prudent,wrong
generally,broadly,controversially,wrong
sustained,prolonged,refined,wrong
perilous,dangerous,exciting,wrong
tranquillity,peacefulness,harshness,wrong
dissipate,disperse,disperse,correct
primarily,chiefly,consistently,wrong
colloquial,conversational,conversational,correct
resolved,settled,publicized,wrong
feasible,possible,permitted,wrong
expeditiously,rapidly,actually,wrong
percentage,proportion,sample,wrong
terminated,ended,ended,correct
uniform,alike,hard,wrong
figure,solve,express,wrong
sufficient,enough,enough,correct
fashion,manner,fathom,wrong
marketed,sold,sold,correct
bigger,larger,better,wrong
roots,origins,cure,wrong
normally,ordinarily,periodically,wrong
